id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,H,HR,AVG,SLG,OPS
621566,"Olson, Matt",704,0.91309987029831387808,516,74.03162911931817,0.42329545454545454545,0.2616279069767442,0.19176136363636365,0.1375968992248062,0.10085227272727272,7.4409301278409091,6,-23.82199526,188,0.26704545454545453,203,0.2883522727272727,81,13,0.229,0.405,0.714
547180,"Harper, Bryce",551,0.90327868852459016393,410,73.93231337568054,0.39564428312159709619,0.2951219512195122,0.21960072595281308,0.18048780487804877,0.13430127041742287,7.3547907441016334,7,12.579253545034824,141,0.2558983666061706,191,0.3466424682395644,91,21,0.301,0.579,0.982
667670,"Rooker Jr., Brent",539,0.90893760539629005059,368,73.89687988868278,0.37847866419294990724,0.29891304347826086,0.20408163265306123,0.16304347826086957,0.11131725417439703,7.1563885714285714,10,14.689932065889177,171,0.3172541743970315,168,0.3116883116883117,88,21,0.291,0.573,0.942
642715,"Adames, Willy",676,0.90982503364737550471,495,73.82785211538463,0.37130177514792899408,0.3090909090909091,0.22633136094674555,0.1393939393939394,0.10207100591715976,8.1082843491124260,3,-3.229132251,181,0.2677514792899408,245,0.3624260355029586,91,15,0.246,0.43,0.76
669127,"Langeliers, Shea",458,0.91417165668662674651,328,73.71649482532749,0.36681222707423580786,0.3445121951219512,0.24672489082969432,0.20121951219512196,0.14410480349344978,7.2543943013100437,3,-6.92655753,130,0.2838427947598253,171,0.37336244541484714,61,17,0.213,0.436,0.701
682998,"Carroll, Corbin",527,0.91334488734835355286,418,73.64207374,0.37381404174573055028,0.3492822966507177,0.27703984819734345,0.17464114832535885,0.13851992409867173,6.9872337760910816,2,-20.66913819,109,0.20683111954459202,247,0.4686907020872865,75,5,0.212,0.334,0.635
606466,"Marte, Ketel",560,0.90761750405186385737,439,73.36876043,0.37857142857142857143,0.4168564920273349,0.3267857142857143,0.20956719817767655,0.16428571428571428,7.6042839642857143,3,-5.361856842,121,0.21607142857142858,242,0.43214285714285716,105,19,0.292,0.515,0.877
521692,"Perez, Salvador",655,0.90469613259668508287,494,73.31597720610688,0.33893129770992366412,0.33805668016194335,0.2549618320610687,0.18421052631578946,0.13893129770992366,7.9157348091603053,9,0.3273859972723229,161,0.24580152671755726,242,0.36946564885496186,97,17,0.282,0.477,0.82
606192,"Hern?ndez, Teoscar",659,0.91022099447513812155,444,73.28859273141123,0.32321699544764795144,0.30405405405405406,0.20485584218512898,0.19594594594594594,0.13201820940819423,7.7580628528072838,13,-6.032842952,215,0.3262518968133536,210,0.3186646433990895,95,19,0.261,0.475,0.802
646240,"Devers, Rafael",572,0.90363349131121642970,422,73.24476230769231,0.35664335664335664336,0.33175355450236965,0.24475524475524477,0.1990521327014218,0.14685314685314685,7.4735716083916084,10,-0.673396982,150,0.26223776223776224,194,0.33916083916083917,92,23,0.295,0.599,0.977
